metadata keys,type,begin,end,Metadaten (Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraum bezogen,Geschlecht,,,,,,,,,,
metadata values,population,2000,2018,Metadaten (Werte),Bestandsdaten,Bundesländer,Jahr,2000-2018,insgesamt,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
DE1,10524415,10600906,10661320,10692556,10717419,10735701,10738753,10749755,10749506,10744921,10753880,10512441,10569111,10631278,10716644,10879618,10951893,11023425,11069533
DE2,12230255,12329714,12387351,12423386,12443893,12468726,12492658,12520332,12519728,12510331,12538696,12443372,12519571,12604244,12691568,12843514,12930751,12997204,13076721
DE3,3382169,3388434,3392425,3388477,3387828,3395189,3404037,3416255,3431675,3442675,3460725,3326002,3375222,3421829,3469849,3520031,3574830,3613495,3644826
DE4,2601962,2593040,2582379,2574521,2567704,2559483,2547772,2535737,2522493,2511525,2503273,2453180,2449511,2449193,2457872,2484826,2494648,2504040,2511917
DE5,660225,659651,662098,663129,663213,663467,663979,663082,661866,661716,660706,652182,654774,657391,661888,671489,678753,681032,682986
DE6,1715392,1726363,1728806,1734083,1734830,1743627,1754182,1770629,1772100,1774224,1786448,1718187,1734272,1746342,1762791,1787408,1810438,1830584,1841179
DE7,6068129,6077826,6091618,6089428,6097765,6092354,6075359,6072555,6064953,6061951,6067021,5993771,6016481,6045425,6093888,6176172,6213088,6243262,6265809
DE8,1775703,1759877,1744624,1732226,1719653,1707266,1693754,1679682,1664356,1651216,1642327,1606899,1600327,1596505,1599138,1612362,1610674,1611119,1609675
DE9,7926193,7956416,7980472,7993415,8000909,7993946,7982685,7971684,7947244,7928815,7918293,7774253,7778995,7790559,7826739,7926599,7945685,7962775,7982448
DEA,18009865,18052092,18076355,18079686,18075352,18058105,18028745,17996621,17933064,17872763,17845154,17544938,17554329,17571856,17638098,17865516,17890100,17912134,17932651
DEB,4034557,4049066,4057727,4058682,4061105,4058843,4052860,4045643,4028351,4012675,4003745,3990033,3990278,3994366,4011582,4052803,4066053,4073679,4084844
DEC,1068703,1066470,1064988,1061376,1056417,1050293,1043167,1036598,1030324,1022585,1017567,997855,994287,990718,989035,995597,996651,994187,990509
DED,4425581,4384192,4349059,4321437,4296284,4273754,4249774,4220200,4192801,4168732,4149477,4054182,4050204,4046385,4055274,4084851,4081783,4081308,4077937
DEE,2615375,2580626,2548911,2522941,2494437,2469716,2441787,2412472,2381872,2356219,2335006,2276736,2259393,2244577,2235548,2245470,2236252,2223081,2208321
DEF,2789761,2804249,2816507,2823171,2828760,2832950,2834254,2837373,2834260,2832027,2834259,2802266,2806531,2815955,2830864,2858714,2881926,2889821,2896712
DEG,2431255,2411387,2392040,2373157,2355280,2334575,2311140,2289219,2267763,2249882,2235025,2181603,2170460,2160840,2156759,2170714,2158128,2151205,2143145
