metadata keys,type,begin,end,Metadaten (Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraum bezogen,Geschlecht,,,,,,,,,,
metadata values,population,2000,2018,Metadaten (Werte),Bestandsdaten,Bundesländer,Jahr,2000-2018,männlich,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
DE1,5157408,5198056,5230234,5247284,5260183,5270906,5273842,5282789,5285894,5285946,5296249,5151354,5189475,5230706,5284223,5393388,5435665,5477341,5501693
DE2,5974283,6029762,6060688,6079009,6088805,6102655,6118977,6136397,6138101,6136004,6158439,6093411,6143980,6197151,6249965,6352172,6400820,6438503,6483793
DE3,1643534,1648169,1651471,1651203,1653057,1659643,1665753,1672226,1680502,1686256,1695438,1617768,1644451,1669791,1696218,1726533,1755700,1776267,1792801
DE4,1283432,1280492,1276145,1272998,1270347,1266932,1261650,1255982,1249312,1244101,1240553,1207189,1205360,1205440,1210474,1228283,1231683,1235971,1239460
DE5,318267,318387,319940,320815,321206,321478,322303,321904,321814,322227,321940,317060,319065,321188,324423,330895,335474,336665,338035
DE6,831225,837726,839006,842587,843580,849467,856132,865859,865921,866623,873712,832064,841246,847946,857446,873062,886289,897207,902048
DE7,2973492,2977832,2984565,2981511,2986543,2983150,2973004,2972646,2970447,2970776,2976527,2927628,2943034,2962599,2991752,3047730,3066957,3081636,3093044
DE8,877698,870229,863859,858249,852143,846217,839553,832745,825124,818119,813283,791635,788104,786331,787945,797832,795467,794873,793639
DE9,3875996,3893308,3906956,3915213,3919375,3917958,3914785,3911545,3901052,3894627,3893761,3803884,3811002,3821877,3846089,3915398,3923396,3931876,3943243
DEA,8756656,8782352,8798673,8803118,8803255,8797188,8787345,8774797,8746419,8719694,8711858,8525378,8540059,8558968,8606003,8768019,8776760,8787579,8798631
DEB,1976814,1985677,1991331,1989127,1991975,1990248,1987553,1984688,1977031,1970665,1967106,1951624,1954161,1958977,1970535,1999333,2006503,2011123,2017576
DEC,518228,517432,517101,515641,513460,510359,507220,504079,501185,497605,495206,484604,483558,482434,482599,488631,489416,487895,486159
DED,2144676,2126723,2112497,2102768,2091821,2083240,2073755,2060804,2049173,2039451,2031630,1978178,1978504,1979164,1987607,2011561,2009991,2010214,2009619
DEE,1271259,1255728,1241832,1230521,1216890,1205720,1193473,1179952,1165683,1153749,1144118,1112710,1104896,1098633,1095797,1106689,1102454,1094876,1086679
DEF,1363617,1370626,1376370,1379707,1382531,1385285,1386770,1388938,1387798,1387049,1388912,1362391,1365954,1372031,1381451,1399458,1412665,1416535,1419457
DEG,1189951,1182177,1174211,1166263,1158456,1149515,1139051,1128941,1118827,1110714,1103693,1073069,1068127,1063687,1062930,1075139,1067878,1065004,1060814
