metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2009,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2009,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,34184,7767,2260,924,2955,15796,1284,7413,17487,13489,1469,4786,2011,2844,2524
DE2,30957,.,8158,2502,847,2998,13285,1225,7197,16126,4738,883,7298,2418,3018,4664
DE3,5341,6570,.,27121,671,2768,3576,2838,5131,7765,1369,285,3071,1964,2479,1245
DE4,2663,3213,24930,.,274,1212,1518,3437,3030,3316,717,133,4928,2397,1549,1056
DE5,847,851,1044,227,.,1414,654,299,12778,2086,252,37,265,184,892,124
DE6,2269,2542,3384,751,1008,.,1765,2114,12079,4377,582,123,688,448,21899,324
DE7,15257,14442,5042,1209,703,2477,.,786,7992,17164,14060,953,2511,1228,2400,3029
DE8,1538,1593,4624,2780,519,4781,932,.,4013,2748,472,64,1554,928,5191,669
DE9,8486,8879,7175,2579,13729,13403,8741,3083,.,30582,3146,471,2879,5453,9333,2340
DEA,18889,19260,11836,3238,2613,7040,18212,2369,31465,.,16673,1436,4245,2716,7063,2510
DEB,14371,5730,2162,711,292,852,14983,430,2867,17186,.,4209,1201,612,1153,628
DEC,2146,1193,493,117,84,156,1231,97,530,1863,4472,.,289,139,148,119
DED,6482,10142,5440,4024,365,1203,3420,1552,3501,5311,1342,193,.,4695,1181,4669
DEE,2886,3662,3649,2522,329,1012,2043,1269,7886,4087,808,138,6469,.,1132,3005
DEF,2627,2883,2705,1176,981,18876,1941,3944,8655,5534,918,111,929,723,.,456
DEG,3498,6795,2137,983,204,620,4652,709,2923,3416,940,159,5825,2546,655,.
