metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,
metadata values,movement,year,2010,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2010,insgesamt,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,34743,7291,2253,897,3200,15849,1278,7145,17014,13613,1762,4701,1887,2822,2478
DE2,32024,.,8196,2366,775,3271,13372,1302,7079,16379,4746,890,7401,2319,2888,4741
DE3,5221,6242,.,25853,674,2794,3544,2802,4888,7631,1331,313,3195,1910,2477,1293
DE4,2419,2765,24115,.,260,1160,1289,3333,2820,3123,789,114,4758,2323,1419,1016
DE5,863,814,1105,210,.,1453,709,292,12360,2150,307,55,299,202,928,134
DE6,2202,2545,3470,688,1063,.,1800,2239,11904,4323,626,95,699,452,22120,364
DE7,14819,14194,5047,1192,711,2657,.,762,7996,17142,13916,924,2498,1339,2339,2979
DE8,1350,1438,4281,2893,405,4161,888,.,3626,2390,483,70,1480,887,5155,556
DE9,7886,8209,6761,2371,13146,12757,8327,3015,.,30092,3187,526,2994,5442,9198,2383
DEA,18579,19050,11460,3002,2424,7041,18180,2185,30622,.,16514,1495,4350,2781,7104,2443
DEB,13902,5462,2170,662,327,867,14568,393,2950,17680,.,4398,1210,626,1035,675
DEC,2162,1157,504,123,46,185,1161,68,483,1868,4620,.,307,90,195,116
DED,5795,9228,5409,3948,361,1189,3227,1569,3267,5027,1332,228,.,4799,1118,4733
DEE,2406,3353,3387,2550,253,940,1894,1228,7216,3515,767,145,6599,.,1014,2985
DEF,2564,2821,2807,1066,1069,18922,2030,3907,8549,5572,893,153,938,695,.,460
DEG,3135,6473,2155,1008,209,617,4288,692,2898,3198,955,107,5844,2643,678,.
