Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2014,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,38138,7259,2039,895,3128,17272,1339,7691,18629,15733,1732,5261,1906,2950,2524
DE2,36108,.,8452,2500,817,3554,14624,1394,8082,17653,5225,960,7786,2300,3161,4982
DE3,5945,6787,.,30152,674,2790,3786,3161,5416,8089,1497,337,4095,2351,2399,1327
DE4,1999,2396,20463,.,222,776,1190,3408,2508,2668,652,110,4761,2324,1124,897
DE5,925,960,978,176,.,1308,744,295,14092,2401,330,62,385,175,855,146
DE6,2604,2946,3291,705,1060,.,1930,2062,13126,4844,751,116,789,489,24050,364
DE7,17455,15677,5082,1208,685,2438,.,1009,8936,18516,16127,917,3001,1436,2626,3174
DE8,1229,1418,3231,2856,302,3287,784,.,3233,2231,460,55,1580,933,4291,599
DE9,8888,9694,6715,2478,12621,12241,8650,3183,.,32720,3504,550,3744,5725,9361,2571
DEA,20286,20557,11352,3004,2547,6835,19658,2526,34336,.,17729,1694,5128,2904,7033,2697
DEB,15756,5675,2105,713,333,938,15201,479,3236,17781,.,4586,1304,695,1118,701
DEC,2278,1119,506,105,53,170,1186,79,530,2010,4884,.,219,83,159,137
DED,4745,7620,4532,3957,327,994,2763,1666,3294,4640,1242,188,.,5047,1059,4745
DEE,2204,2594,3006,2388,233,751,1467,1258,6452,3219,657,115,7282,.,904,2811
DEF,2868,2774,2507,1152,970,18637,2016,4240,9233,5640,936,131,1087,809,.,511
DEG,2808,5920,1999,986,183,616,3738,728,2813,3032,769,120,6646,2841,643,.
