metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2009,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2009,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,17005,3926,1179,494,1471,8050,664,3769,8863,6791,722,2515,1050,1387,1337
DE2,15446,.,4166,1311,458,1463,6747,647,3798,8474,2444,431,3789,1284,1500,2350
DE3,2732,3370,.,13421,308,1363,1813,1435,2609,3863,704,147,1487,963,1218,608
DE4,1374,1716,12440,.,133,619,754,1624,1554,1682,372,71,2420,1180,766,524
DE5,461,457,518,107,.,686,349,155,6380,1020,128,17,131,88,454,60
DE6,1154,1285,1718,386,508,.,869,1089,5872,2222,309,64,368,222,10766,171
DE7,7643,7326,2574,640,340,1223,.,396,3916,8351,6903,485,1276,607,1126,1454
DE8,826,862,2341,1362,257,2453,482,.,2085,1404,261,33,733,462,2642,302
DE9,4255,4505,3485,1302,6976,6399,4309,1561,.,14791,1572,227,1445,2710,4552,1197
DEA,9467,9925,5802,1638,1302,3454,9079,1213,15411,.,8265,753,2168,1422,3381,1313
DEB,7220,2893,1099,359,148,436,7299,209,1423,8446,.,2064,608,329,537,335
DEC,1071,623,239,52,53,74,616,57,271,940,2229,.,160,73,76,53
DED,3307,5278,2667,1955,190,618,1703,712,1720,2713,680,106,.,2249,594,2249
DEE,1488,1950,1760,1244,167,519,1017,595,3952,2094,420,81,3114,.,566,1440
DEF,1255,1500,1337,617,514,9266,957,2033,4243,2741,462,49,473,375,.,233
DEG,1820,3443,1044,479,97,327,2273,348,1458,1705,484,77,2901,1198,298,.
