metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2011,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2011,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,19230,3865,1090,433,1654,8343,597,3684,8975,7316,862,2578,1034,1396,1314
DE2,17312,.,4224,1290,438,1671,7417,644,3797,8840,2440,470,4130,1227,1546,2534
DE3,2863,3598,.,13008,382,1299,1859,1525,2654,4053,749,153,1767,1154,1170,658
DE4,1374,1559,12136,.,152,570,739,1755,1537,1619,364,53,2590,1127,736,553
DE5,553,605,519,104,.,769,405,155,6491,1211,162,31,174,84,477,72
DE6,1339,1609,1776,378,531,.,1020,1120,6309,2430,359,62,395,291,11453,188
DE7,8137,7911,2504,614,361,1326,.,410,4212,9006,7138,490,1403,678,1205,1630
DE8,756,867,2113,1452,194,2099,489,.,1971,1336,243,31,885,477,2534,338
DE9,4352,4773,3411,1307,6558,6529,4485,1599,.,16212,1587,283,1763,3004,4565,1253
DEA,10210,10912,5749,1535,1256,3620,10008,1269,16095,.,8413,845,2341,1558,3201,1234
DEB,7442,2952,995,336,157,432,7831,208,1505,8826,.,2152,638,319,577,410
DEC,1098,715,257,62,39,77,637,33,276,980,2182,.,179,48,89,71
DED,3342,5146,2643,1974,207,594,1723,701,1738,2649,680,106,.,2474,644,2418
DEE,1345,1991,1691,1179,147,473,945,599,3718,1910,398,73,3622,.,481,1499
DEF,1437,1645,1343,579,559,9380,1070,2117,4497,2947,494,76,510,425,.,286
DEG,1733,3463,1057,474,88,332,2160,358,1586,1665,447,82,3285,1324,303,.
