Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2014,männlich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,19856,3619,1081,485,1574,8706,697,3957,9666,7906,866,2869,1004,1487,1318
DE2,18747,.,4336,1323,471,1855,7753,716,4415,9549,2718,493,4104,1245,1627,2589
DE3,3102,3483,.,15103,332,1352,1970,1583,2766,4100,769,168,2052,1225,1187,642
DE4,1071,1347,10661,.,134,424,650,1686,1310,1435,350,58,2436,1165,588,440
DE5,478,511,470,98,.,640,397,145,7028,1244,163,31,206,93,436,67
DE6,1303,1544,1622,361,534,.,967,1033,6538,2427,363,56,406,253,11954,195
DE7,9052,8234,2511,617,352,1160,.,565,4415,9435,7992,459,1549,730,1266,1556
DE8,692,766,1667,1416,174,1769,438,.,1746,1203,252,27,780,444,2241,279
DE9,4619,5175,3262,1276,6331,5914,4315,1645,.,16125,1803,263,1978,2930,4559,1257
DEA,10761,10926,5655,1549,1250,3374,9845,1300,17055,.,8867,851,2710,1545,3471,1460
DEB,7990,2928,1018,372,171,453,7568,252,1616,8929,.,2293,692,359,552,352
DEC,1175,564,242,57,27,80,594,41,292,1061,2353,.,108,40,75,73
DED,2545,4180,2250,1998,163,510,1473,813,1761,2491,658,103,.,2552,544,2373
DEE,1215,1444,1489,1179,133,390,774,609,3363,1742,344,62,3764,.,479,1401
DEF,1518,1524,1203,608,498,9136,1008,2164,4542,2814,457,65,577,420,.,261
DEG,1551,3183,963,484,97,331,1955,358,1447,1640,406,62,3356,1412,359,.
