Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2003,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,14892,2698,961,361,1133,6635,520,3312,7821,6072,722,2114,950,1312,1098
DE2,14214,.,3093,1081,346,1193,5851,469,3205,7511,2175,447,3420,1106,1338,1920
DE3,3107,3544,.,16748,338,1200,1759,1411,2939,4153,728,146,1331,978,1375,532
DE4,2276,2392,11478,.,179,734,1030,1593,2198,2564,590,78,1913,1151,867,473
DE5,428,374,385,67,.,512,297,112,6967,912,87,17,104,90,332,52
DE6,1003,1228,1164,262,372,.,809,927,6150,2095,270,65,282,190,11293,80
DE7,7182,6661,1868,534,322,1029,.,295,4176,8142,6743,433,1128,599,1111,1471
DE8,1015,914,1859,1293,326,2597,563,.,2493,1639,282,34,641,422,3446,250
DE9,8345,9029,3618,2535,6553,6522,6274,2389,.,22825,2950,697,3571,4012,5316,2205
DEA,8917,8202,4520,1354,1053,2619,7965,1023,15276,.,8361,689,1857,1314,3275,1061
DEB,6162,2412,736,289,122,315,5956,168,1359,7878,.,1649,537,319,570,317
DEC,852,508,168,39,37,79,457,43,242,758,1804,.,84,52,62,45
DED,4987,7246,1901,1649,168,503,2057,712,1866,3385,1034,114,.,2132,598,2054
DEE,2246,2688,1451,1120,207,463,1275,624,5160,2760,602,79,2610,.,578,1499
DEF,1383,1358,1104,393,423,9256,963,2047,4292,2777,480,67,332,293,.,138
DEG,2425,4126,792,419,85,220,2837,321,1618,2040,662,60,2322,1348,267,.
