metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2006,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2006,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,17951,2864,862,347,1389,7258,529,3337,7916,6647,792,2227,793,1380,1048
DE2,14939,.,3179,1084,304,1380,6057,500,3191,7417,2411,412,3371,979,1455,2042
DE3,2717,3571,.,15029,332,1478,1811,1414,2619,3808,779,147,1431,767,1249,507
DE4,1592,1911,11668,.,161,705,941,1620,1832,2141,478,82,2479,1033,807,445
DE5,405,450,380,103,.,606,324,123,6152,941,152,22,97,102,356,40
DE6,1062,1236,1340,287,410,.,870,916,5496,2017,309,56,265,174,10502,113
DE7,7196,7238,2035,575,302,1081,.,382,3713,8086,7319,369,1188,546,1098,1435
DE8,806,864,2161,1223,267,2418,507,.,2104,1474,282,43,743,447,2896,259
DE9,4409,4947,3218,1276,6535,6330,4336,1465,.,15240,1641,229,1424,2600,4471,1035
DEA,8905,9807,4830,1401,946,3066,8527,1005,14687,.,8559,674,1968,1196,3256,926
DEB,6349,2941,832,281,129,392,6687,181,1334,8091,.,1827,525,258,554,278
DEC,1024,627,220,49,36,71,546,39,196,810,2423,.,137,38,79,52
DED,3768,6396,2394,1763,153,511,1871,724,1647,2829,942,140,.,2099,511,2017
DEE,1724,2224,1647,1186,168,485,1168,627,4239,2223,538,91,3060,.,581,1435
DEF,1325,1504,1214,504,456,9344,894,1773,3985,2800,520,69,363,264,.,219
DEG,2039,4102,925,518,82,301,2513,335,1463,1847,658,86,2951,1142,319,.
