metadata keys,type,year,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement-year,2017,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2017,weiblich,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,18710,3571,1023,388,1703,8676,714,3716,9003,7873,842,2417,878,1519,1181
DE2,17328,.,4103,1148,401,1710,6772,671,3627,8166,2526,469,3450,1000,1521,2237
DE3,2576,3143,.,15659,336,1429,1778,1608,2583,3844,708,131,1875,1266,1238,664
DE4,779,874,8722,.,76,335,529,1768,1091,1154,265,45,2427,1169,534,432
DE5,422,457,452,93,.,664,321,121,7167,1013,131,18,144,102,367,77
DE6,1290,1455,1707,359,521,.,986,942,6560,2435,358,49,397,214,11295,175
DE7,8285,7344,2336,657,352,1305,.,486,4230,8728,8085,487,1505,633,1274,1463
DE8,511,538,1329,1438,137,945,387,.,1436,1062,206,33,745,457,1678,296
DE9,4327,4439,3229,1231,5779,6401,4468,1561,.,15770,1701,272,1745,2756,4566,1267
DEA,9403,9126,5297,1339,1174,3398,9493,1293,16543,.,9043,827,2087,1356,3299,1261
DEB,7676,2775,910,303,157,528,7843,217,1533,8475,.,2298,606,248,600,363
DEC,1081,582,225,48,46,78,560,30,266,952,2488,.,124,51,115,64
DED,1972,3135,2113,2153,134,518,1291,837,1366,2092,509,78,.,2824,497,2248
DEE,910,1081,1201,1148,94,338,675,646,2804,1422,315,46,3391,.,391,1359
DEF,1276,1413,1165,506,437,9170,1011,2060,4555,2733,487,83,560,350,.,273
DEG,1135,2510,849,427,89,261,1669,383,1358,1444,331,45,3408,1304,257,.
