metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2020;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2020;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;.;38391;5934;2042;873;3332;16649;1546;7716;18318;16102;1763;5091;1901;3019;2417
DE2;34152;-;7539;2304;793;3594;13342;1663;7948;17547;4949;926;7618;2231;3197;4736
DE3;4846;6514;.;35206;614;2489;3266;4253;4857;7165;1467;286;3858;2310;2533;1282
DE4;1439;1969;14852;-;208;703;996;3920;2142;2735;542;72;4168;2405;1179;876
DE5;825;835;691;171;-;1202;591;244;13812;2020;279;63;290;189;727;118
DE6;2334;2798;2531;669;917;.;1851;2145;13687;4499;712;144;799;489;24143;343
DE7;15919;15469;4095;1202;564;2501;-;1150;8183;17706;16149;986;2842;1338;2660;2723
DE8;1061;1140;1894;2460;350;1859;697;-;2535;2351;414;75;1337;925;3252;520
DE9;7277;8126;4975;2315;10853;12005;7714;3246;-;29299;2917;472;3323;5111;8739;2444
DEA;16902;17840;8642;2778;2185;6253;16742;2614;32624;-;17484;1476;4502;2594;6647;2316
DEB;14675;5413;1620;630;310;857;14841;530;3099;16442;-;4636;1198;589;1135;706
DEC;1782;1012;331;96;70;186;976;83;461;1791;4544;-;225;100;188;127
DED;3625;5751;3487;3776;327;1029;2307;1914;2837;4480;1070;215;-;5958;1067;4888
DEE;1526;2031;1964;2176;234;710;1396;1315;5123;3502;631;152;6066;-;795;2445
DEF;2366;2769;1750;962;831;17176;1789;4019;8392;5070;845;180;1004;677;-;554
DEG;2266;4726;1412;857;219;582;3155;841;2544;3439;732;137;5866;2630;587;-
