metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,
metadata values,movement,year,2007,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2007,männlich,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,18244,3302,1088,398,1534,7637,570,3362,8253,6617,711,2435,959,1292,1132
DE2,15653,.,3829,1224,408,1521,6577,605,3569,8142,2391,438,3687,1151,1517,2255
DE3,3128,3709,.,14129,330,1464,1907,1500,2585,4126,781,153,1471,919,1248,546
DE4,1978,2050,11759,.,139,784,854,1516,1761,1991,450,76,2256,1127,820,468
DE5,483,493,395,70,.,695,338,175,6267,1020,164,22,98,80,423,63
DE6,1035,1457,1446,331,395,.,985,1095,5481,2151,308,46,290,223,10206,131
DE7,7811,7896,2257,559,314,1239,.,397,3630,8271,6904,422,1227,600,1116,1452
DE8,1025,986,2139,1332,264,2652,506,.,2239,1391,304,30,709,501,2978,282
DE9,4551,5042,3295,1311,6209,6342,4316,1451,.,15127,1547,282,1475,2752,4580,997
DEA,9954,11102,5357,1666,1064,3405,9154,1075,14746,.,8091,757,2215,1355,3337,1079
DEB,6993,3203,980,337,155,502,6926,228,1397,8220,.,1819,559,298,557,340
DEC,1059,663,217,70,36,87,566,47,195,892,1947,.,146,45,98,59
DED,4128,6234,2310,1824,155,704,1865,749,1657,2870,806,133,.,2030,618,2092
DEE,1991,2367,1569,1124,159,820,1130,606,4016,2358,540,80,3059,.,551,1374
DEF,1374,1663,1276,546,434,8900,989,1938,3996,2720,507,85,451,334,.,192
DEG,2302,4023,957,447,78,517,2332,328,1465,1832,538,98,2645,1083,324,.
