metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2019;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2019;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;20926;3540;1120;466;1688;9226;735;4146;10161;8677;912;2683;957;1518;1209
DE2;19456;-;4276;1298;496;1755;7866;811;4227;9994;2865;551;4188;1301;1654;2530
DE3;2627;3468;-;17332;310;1265;1785;1682;2488;3840;794;162;1991;1220;1197;690
DE4;935;1114;9159;-;96;371;572;1709;1228;1700;310;53;2271;1222;564;444
DE5;414;507;414;82;-;668;333;159;7105;1159;168;26;154;83;402;48
DE6;1242;1557;1532;336;484;-;963;1056;6891;2327;328;66;426;282;11349;150
DE7;8913;8687;2374;669;346;1330;-;445;4301;9358;8307;508;1516;642;1204;1542
DE8;642;630;1319;1292;187;1090;417;-;1599;1639;256;43;752;425;1792;261
DE9;4853;5259;3302;1275;6227;6517;4711;1896;-;16383;1847;321;1949;2847;4411;1399
DEA;9883;10609;5105;1484;1150;3281;9651;1325;17042;-;9349;827;2441;1448;3253;1328
DEB;8040;3141;962;357;199;455;7859;241;1529;8699;-;2291;674;383;557;363
DEC;1034;585;231;50;35;92;676;42;272;992;2410;-;122;60;94;52
DED;2234;3518;2057;2079;207;556;1311;886;1747;2672;555;124;-;3026;535;2411
DEE;973;1262;1344;1164;141;432;741;631;2965;1962;356;61;3240;-;460;1342
DEF;1368;1615;1015;518;423;9099;973;2102;4533;2759;499;99;470;384;-;234
DEG;1250;2760;818;534;104;287;1759;368;1310;1837;407;84;2919;1316;300;-
