metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,
metadata values,movement,year,2013,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2013,weiblich,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,18627,3751,956,452,1664,8213,638,3480,8777,7628,842,2381,930,1463,1290
DE2,16687,.,4243,1075,388,1696,6577,610,3422,7929,2389,429,3562,1076,1510,2326
DE3,2883,3313,.,13952,355,1439,1980,1581,2616,3973,706,144,1897,1171,1302,670
DE4,972,1135,10563,.,110,389,546,1658,1243,1386,329,57,2489,1148,651,518
DE5,408,482,513,108,.,774,351,149,7048,1203,145,24,161,105,401,92
DE6,1215,1497,1771,323,561,.,974,1069,6721,2365,342,61,433,245,12166,154
DE7,8139,7578,2665,594,328,1305,.,442,4344,9122,7637,547,1372,678,1342,1621
DE8,648,691,1754,1461,168,1687,387,.,1578,1080,198,20,775,534,2095,325
DE9,4090,4254,3364,1073,6610,6931,4162,1427,.,16151,1467,261,1573,2766,4782,1217
DEA,9790,9592,5839,1419,1354,3742,9605,1206,16933,.,8791,779,2339,1378,3710,1256
DEB,7631,2877,1099,348,151,536,7904,241,1517,9048,.,2373,673,295,593,374
DEC,1094,623,236,62,45,94,669,39,283,1004,2400,.,108,48,107,51
DED,2322,3803,2416,2122,121,506,1288,739,1515,2226,530,90,.,2400,579,2348
DEE,1047,1316,1595,1243,93,354,773,593,3288,1483,325,45,3439,.,473,1469
DEF,1526,1421,1446,588,496,9937,1009,2056,4694,2880,493,87,521,391,.,252
DEG,1366,2861,1020,438,114,285,1809,377,1399,1369,376,56,3099,1311,343,.
