metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2020;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2020;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;18344;2998;955;420;1723;8140;774;3708;8894;7873;873;2429;880;1549;1175
DE2;16477;-;3712;1073;359;1799;6417;810;3763;8137;2366;437;3588;1049;1598;2257
DE3;2414;3128;.;17671;320;1270;1613;2129;2513;3612;732;139;1951;1182;1346;645
DE4;642;924;7284;-;99;356;475;1959;1062;1292;260;38;2108;1248;605;459
DE5;389;378;334;83;-;599;278;102;6940;1033;122;30;127;96;371;61
DE6;1192;1392;1301;318;486;.;943;1046;6953;2327;362;73;396;231;12278;183
DE7;7787;7463;2128;597;286;1259;-;568;4101;8857;7967;485;1369;663;1416;1349
DE8;502;524;933;1284;161;869;330;-;1224;1093;197;35;681;464;1641;273
DE9;3504;3786;2558;1088;5318;6092;3814;1516;-;14902;1442;232;1581;2501;4511;1264
DEA;8114;8403;4385;1351;1097;3315;8248;1304;16589;-;8741;706;2146;1244;3479;1143
DEB;7211;2536;814;294;147;443;7441;259;1542;8262;-;2428;572;285;564;338
DEC;888;477;161;47;26;94;498;46;230;843;2291;-;114;47;99;55
DED;1695;2640;1647;1879;152;485;1075;1013;1381;2016;494;97;-;2946;537;2489
DEE;694;907;972;1092;116;301;670;708;2468;1669;294;64;3094;-;408;1256
DEF;1174;1305;891;469;443;8610;880;2038;4283;2589;405;96;522;355;-;268
DEG;1081;2268;732;425;122;302;1551;435;1284;1632;333;65;2982;1332;294;-
