metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,
metadata values,movement,year,2017,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2017,insgesamt,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,39570,7251,2151,819,3258,18139,1491,7769,18729,16572,1683,5244,1941,3070,2556
DE2,36834,.,8368,2489,900,3428,14435,1447,7739,17661,5286,964,7501,2244,3054,4794
DE3,5417,6558,.,31930,657,2684,3614,3177,5271,7765,1427,282,3873,2503,2399,1296
DE4,1697,2025,18030,.,180,712,1130,3375,2265,2585,574,108,4831,2296,1057,927
DE5,904,1013,880,196,.,1267,687,304,14351,2157,286,42,335,230,746,167
DE6,2630,2996,3278,745,1001,.,2037,1962,12976,4781,723,120,842,438,22306,349
DE7,17438,15682,4783,1390,679,2586,.,1018,8528,17897,16261,936,3175,1359,2539,3115
DE8,1167,1244,2719,2770,286,2031,813,.,3050,2441,453,81,1558,939,3442,592
DE9,9085,9695,6434,2555,11727,12484,8986,3264,.,31477,3499,536,3707,5668,8899,2598
DEA,20239,20103,10785,2922,2364,6656,19636,2762,33562,.,18280,1662,4710,2926,6554,2798
DEB,16005,5812,1880,603,329,1035,15760,474,3156,16922,.,4551,1297,546,1162,761
DEC,2177,1237,483,105,90,156,1167,63,613,2011,4838,.,248,121,247,131
DED,4291,6923,4437,4234,320,1073,2776,1672,2948,4617,1064,171,.,5748,1064,4633
DEE,2025,2418,2515,2248,245,754,1446,1269,5860,3131,670,106,6838,.,831,2773
DEF,2754,2943,2323,1034,864,18073,2102,4192,9159,5515,962,163,1140,756,.,551
DEG,2473,5518,1674,878,188,528,3379,746,2830,3014,755,92,6800,2620,567,.
