metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2019;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2019;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;39829;7148;2108;945;3388;17714;1410;7884;19220;16910;1798;5085;1818;3117;2343
DE2;36859;-;8329;2465;888;3601;14603;1533;8016;18556;5437;1028;7818;2390;3170;4826
DE3;5111;6524;-;34465;643;2680;3478;3369;5054;7687;1586;313;3897;2391;2447;1353
DE4;1701;2009;17805;-;195;736;1069;3534;2273;3134;592;113;4535;2430;1082;924
DE5;809;944;841;178;-;1348;627;290;14346;2240;328;49;299;164;779;115
DE6;2468;2969;3103;660;1007;-;1857;2007;13674;4753;653;116;866;515;22795;309
DE7;17100;16075;4749;1297;667;2642;-;906;8620;18332;16677;979;2892;1209;2521;3014
DE8;1154;1165;2566;2629;325;2009;806;-;3036;2982;477;78;1505;898;3571;539
DE9;9262;9939;6571;2473;12290;13114;9103;3533;-;33125;3518;640;3739;5463;8938;2684
DEA;18649;19379;10250;2841;2297;6627;18934;2520;34233;-;18364;1610;4604;2690;6652;2503
DEB;15794;5830;1946;681;358;919;15679;463;3074;17288;-;4712;1252;680;1102;695
DEC;2056;1080;448;83;63;184;1282;88;532;1901;4948;-;229;102;206;104
DED;4081;6480;4095;4142;391;1058;2538;1771;3252;4798;1067;252;-;5952;1050;4775
DEE;1800;2329;2533;2332;266;759;1414;1308;5636;3595;639;115;6450;-;889;2757
DEF;2623;2979;2109;1061;889;18282;1942;4075;8983;5484;977;163;907;733;-;491
DEG;2369;5291;1632;1034;186;544;3325;747;2592;3400;791;145;5943;2600;606;-
