metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,
metadata values,movement,year,2003,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2003,männlich,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,15201,3047,1063,419,1308,6932,644,3396,8092,6423,776,2683,1061,1380,1224
DE2,14620,.,3568,1279,466,1401,6325,564,3566,8539,2368,480,3894,1342,1300,2116
DE3,3389,3889,.,16708,378,1315,1858,1408,3054,4395,757,152,1468,1033,1353,629
DE4,2389,2434,11170,.,179,709,966,1486,2225,2298,553,66,1918,1080,778,488
DE5,435,432,394,82,.,491,302,116,6917,939,126,21,136,96,338,62
DE6,1139,1398,1243,275,390,.,824,1058,6014,2148,292,73,262,222,10774,115
DE7,7682,7262,2038,520,316,1120,.,343,4023,8343,7203,443,1294,665,1061,1487
DE8,1092,999,1806,1223,313,2695,535,.,2416,1685,313,34,640,413,3254,296
DE9,8132,8946,3737,2494,6753,6722,5904,2502,.,22407,2946,652,3541,4137,5208,2204
DEA,9192,9082,4880,1473,1166,2763,8295,1115,15164,.,8514,716,2185,1564,3099,1238
DEB,6270,2506,795,343,130,334,6171,216,1362,7859,.,1856,663,334,507,375
DEC,902,569,205,47,34,99,467,35,263,866,1903,.,114,69,84,52
DED,5163,6946,1841,1602,152,456,1993,652,1926,3240,972,138,.,1983,548,1872
DEE,2429,2764,1462,1048,168,454,1240,580,4964,2809,649,91,2582,.,529,1360
DEF,1446,1509,1221,464,451,9269,1027,2121,4337,2788,519,81,376,343,.,178
DEG,2354,3898,790,392,88,208,2385,330,1456,1892,647,59,2262,1169,263,.
