metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2020;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2020;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;20047;2936;1087;453;1609;8509;772;4008;9424;8229;890;2662;1021;1470;1242
DE2;17675;-;3827;1231;434;1795;6925;853;4185;9410;2583;489;4030;1182;1599;2479
DE3;2432;3386;.;17535;294;1219;1653;2124;2344;3553;735;147;1907;1128;1187;637
DE4;797;1045;7568;-;109;347;521;1961;1080;1443;282;34;2060;1157;574;417
DE5;436;457;357;88;-;603;313;142;6872;987;157;33;163;93;356;57
DE6;1142;1406;1230;351;431;.;908;1099;6734;2172;350;71;403;258;11865;160
DE7;8132;8006;1967;605;278;1242;-;582;4082;8849;8182;501;1473;675;1244;1374
DE8;559;616;961;1176;189;990;367;-;1311;1258;217;40;656;461;1611;247
DE9;3773;4340;2417;1227;5535;5913;3900;1730;-;14397;1475;240;1742;2610;4228;1180
DEA;8788;9437;4257;1427;1088;2938;8494;1310;16035;-;8743;770;2356;1350;3168;1173
DEB;7464;2877;806;336;163;414;7400;271;1557;8180;-;2208;626;304;571;368
DEC;894;535;170;49;44;92;478;37;231;948;2253;-;111;53;89;72
DED;1930;3111;1840;1897;175;544;1232;901;1456;2464;576;118;-;3012;530;2399
DEE;832;1124;992;1084;118;409;726;607;2655;1833;337;88;2972;-;387;1189
DEF;1192;1464;859;493;388;8566;909;1981;4109;2481;440;84;482;322;-;286
DEG;1185;2458;680;432;97;280;1604;406;1260;1807;399;72;2884;1298;293;-
