metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,
metadata values,movement,year,2012,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2012,weiblich,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,18252,4005,988,372,1713,8055,574,3549,8679,7301,879,2341,902,1400,1203
DE2,16769,.,4147,1100,392,1714,6435,529,3561,7820,2412,413,3724,1081,1511,2491
DE3,2942,3457,.,13373,345,1470,1809,1432,2732,3985,683,140,1909,1169,1253,727
DE4,1038,1303,11145,.,115,450,571,1630,1313,1393,330,49,2550,1188,629,486
DE5,450,546,515,96,.,753,321,164,6579,1155,148,35,159,99,471,75
DE6,1203,1480,1804,382,539,.,913,1043,6507,2282,343,55,418,263,11770,182
DE7,8220,7445,2628,609,362,1326,.,411,4394,8940,7400,521,1472,662,1275,1597
DE8,648,656,1903,1416,179,1830,380,.,1746,1146,211,37,836,488,2208,317
DE9,4036,4212,3690,1123,6554,6745,4235,1471,.,15714,1471,231,1674,2928,4705,1208
DEA,10019,9903,5882,1442,1302,3645,9287,1144,16746,.,8744,788,2245,1336,3491,1234
DEB,7398,2817,1090,340,146,494,7595,207,1513,9031,.,2273,617,265,580,378
DEC,1206,610,236,45,38,109,620,35,300,937,2401,.,115,39,120,67
DED,2468,3986,2589,2061,143,521,1398,763,1514,2143,543,97,.,2410,491,2390
DEE,1220,1390,1708,1295,111,414,816,575,3432,1584,337,59,3566,.,455,1466
DEF,1368,1429,1434,555,526,9931,1014,2028,4804,2888,492,77,469,381,.,267
DEG,1452,3048,1055,515,106,290,1986,330,1458,1402,445,77,3179,1358,320,.
