metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2019;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2019;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;18903;3608;988;479;1700;8488;675;3738;9059;8233;886;2402;861;1599;1134
DE2;17403;-;4053;1167;392;1846;6737;722;3789;8562;2572;477;3630;1089;1516;2296
DE3;2484;3056;-;17133;333;1415;1693;1687;2566;3847;792;151;1906;1171;1250;663
DE4;766;895;8646;-;99;365;497;1825;1045;1434;282;60;2264;1208;518;480
DE5;395;437;427;96;-;680;294;131;7241;1081;160;23;145;81;377;67
DE6;1226;1412;1571;324;523;-;894;951;6783;2426;325;50;440;233;11446;159
DE7;8187;7388;2375;628;321;1312;-;461;4319;8974;8370;471;1376;567;1317;1472
DE8;512;535;1247;1337;138;919;389;-;1437;1343;221;35;753;473;1779;278
DE9;4409;4680;3269;1198;6063;6597;4392;1637;-;16742;1671;319;1790;2616;4527;1285
DEA;8766;8770;5145;1357;1147;3346;9283;1195;17191;-;9015;783;2163;1242;3399;1175
DEB;7754;2689;984;324;159;464;7820;222;1545;8589;-;2421;578;297;545;332
DEC;1022;495;217;33;28;92;606;46;260;909;2538;-;107;42;112;52
DED;1847;2962;2038;2063;184;502;1227;885;1505;2126;512;128;-;2926;515;2364
DEE;827;1067;1189;1168;125;327;673;677;2671;1633;283;54;3210;-;429;1415
DEF;1255;1364;1094;543;466;9183;969;1973;4450;2725;478;64;437;349;-;257
DEG;1119;2531;814;500;82;257;1566;379;1282;1563;384;61;3024;1284;306;-
