;0;1;2;3;4;5;6;10;11;12;13;14;15;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;40;41;42;43;44;50;51;52;53;54;55;60;61;62;63;64;65;66;70;71;72;73;74;75;80;81;82;83;90;91;92;93;94;95
0;29;4;28;18;18;7;15;.;.;.;5;6;0;.;12;3;3;4;0;0;3;0;.;18;5;0;0;0;0;24;4;0;3;.;.;13;3;0;0;0;3;0;.;0;0;0;0;6;7;3;.;0;0;6;.;0;0;10;4;.;.;0;0
1;4;46;24;32;23;13;17;17;0;.;9;.;0;28;13;15;.;6;0;0;.;0;0;40;23;.;3;.;0;30;17;.;.;0;6;18;5;.;.;0;8;.;.;0;.;.;0;7;18;3;5;.;0;4;4;0;6;31;11;3;15;.;.
2;13;46;470;88;55;25;61;27;8;.;18;4;.;80;73;54;35;20;5;3;14;.;0;223;52;11;.;.;10;122;34;13;30;7;25;41;15;3;5;0;8;11;29;0;11;5;0;21;33;6;15;8;0;25;5;5;0;38;26;10;19;0;.
3;16;17;83;235;68;24;37;16;4;6;3;8;0;38;24;17;5;6;5;5;3;6;.;86;31;10;.;11;4;206;95;11;11;7;45;52;15;.;.;0;0;0;.;.;.;0;0;32;35;11;19;0;.;6;6;0;0;32;16;10;15;3;3
4;23;25;76;96;256;106;50;22;4;.;14;5;0;27;30;20;6;12;0;9;.;0;0;41;34;.;.;3;6;102;26;.;4;.;44;59;14;3;.;.;3;.;.;.;9;.;.;42;63;12;13;7;.;5;4;.;.;29;29;9;47;0;4
5;9;16;23;38;96;267;49;8;3;3;0;4;3;14;14;6;5;7;3;5;5;0;0;32;19;14;.;.;8;58;22;0;9;6;18;52;4;0;.;0;3;0;6;0;10;.;0;22;30;4;15;11;.;10;.;8;9;66;23;0;21;.;5
6;23;15;35;49;41;30;138;22;4;.;8;4;3;32;25;16;8;4;.;8;5;0;0;48;19;6;0;5;0;43;20;5;9;3;12;22;3;.;0;.;.;.;4;0;4;3;.;24;28;3;22;3;4;30;10;0;6;89;45;6;58;.;8
10;4;7;11;4;20;9;24;446;137;33;33;38;.;44;61;44;54;48;5;10;29;0;0;45;22;4;6;.;.;15;5;3;11;0;10;17;9;3;0;0;5;.;9;.;5;3;.;11;47;7;11;3;.;22;8;3;11;22;27;7;42;.;5
11;5;8;7;.;4;0;3;91;175;11;18;17;0;12;42;12;21;22;5;3;11;0;.;11;22;.;.;.;.;4;5;0;9;.;.;.;7;0;0;0;.;.;3;0;6;6;0;5;3;5;.;.;0;14;.;.;4;8;3;6;8;0;.
12;.;0;.;3;3;.;3;38;17;93;75;11;3;5;6;11;17;8;.;.;0;0;.;10;10;.;0;.;.;.;.;0;.;0;.;5;10;3;.;0;0;4;.;0;5;4;0;.;7;0;.;.;0;7;.;.;.;3;11;7;21;0;4
13;0;.;10;9;6;.;8;44;16;58;189;31;14;8;10;8;15;18;7;0;12;0;3;11;13;.;.;.;.;6;4;.;4;0;3;4;3;.;5;0;0;0;12;0;6;5;0;.;4;3;5;3;6;11;6;.;5;8;22;12;26;15;13
14;0;.;.;0;7;.;4;16;3;6;39;88;10;0;6;.;5;12;3;0;5;0;0;5;5;4;6;0;0;9;0;0;4;0;0;.;0;.;0;0;0;.;.;0;4;.;0;4;4;.;.;3;.;8;.;0;0;3;5;3;13;4;6
15;0;.;.;0;0;.;.;3;3;3;.;15;29;.;0;0;0;0;0;0;0;0;0;.;0;0;0;.;0;3;.;0;0;0;0;.;0;.;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;.;0;.;.;.;0;.;5;4
20;4;23;55;26;23;18;18;96;21;8;22;10;.;337;219;85;46;41;.;0;13;.;0;142;47;8;5;.;5;52;27;4;16;.;20;30;15;3;3;0;7;.;7;5;5;11;.;18;40;6;9;.;4;21;5;3;10;26;28;10;30;6;3
21;.;11;44;11;9;9;11;115;64;17;16;9;0;179;336;71;82;75;.;7;15;0;.;77;26;6;0;.;3;32;25;.;9;.;11;11;18;7;0;0;10;12;20;3;17;9;0;16;30;7;9;6;.;23;11;3;4;23;16;5;26;.;.
22;0;9;33;21;20;3;11;28;16;6;16;10;3;77;91;289;83;52;0;7;13;0;.;136;51;14;.;.;9;27;22;7;30;5;9;20;18;6;3;0;.;.;15;0;10;6;.;24;26;4;16;.;0;22;.;0;4;26;26;5;26;.;5
23;5;5;13;7;6;.;4;48;35;6;8;7;.;23;42;19;190;58;4;12;37;0;.;30;20;4;.;10;3;13;3;0;5;.;5;7;3;.;.;0;0;.;7;0;5;10;0;9;13;7;4;4;0;14;.;0;.;9;13;6;11;0;.
24;.;6;20;17;11;4;4;54;52;8;38;12;0;30;70;26;76;476;40;14;51;3;17;47;21;11;3;4;.;16;18;.;12;4;3;12;9;7;.;.;14;23;20;0;21;10;.;7;23;9;5;.;0;24;16;.;5;17;8;5;21;.;.
25;0;.;7;3;.;0;3;7;.;.;.;6;.;.;.;.;5;29;40;0;19;0;.;3;5;.;0;0;3;.;.;0;0;0;0;0;0;.;0;0;.;0;0;0;3;3;.;.;0;0;0;0;0;.;.;0;0;.;3;.;.;.;0
26;0;3;5;.;0;4;5;9;.;0;.;3;0;0;.;10;11;6;3;75;23;10;4;15;16;11;0;4;8;.;3;.;3;0;.;.;0;.;.;0;0;0;.;0;0;.;.;3;.;0;0;0;0;0;0;0;0;.;.;.;.;0;0
27;0;3;13;6;4;0;.;8;12;.;5;4;0;9;12;8;23;50;22;26;185;11;16;17;16;.;.;3;9;3;4;0;.;.;.;3;3;.;3;0;0;0;6;0;.;3;0;.;0;.;6;.;0;.;0;0;3;4;6;.;4;.;3
28;0;0;0;0;0;0;.;5;.;0;0;0;0;0;0;.;8;7;0;5;13;.;3;5;7;0;0;.;0;.;0;0;0;0;0;0;.;0;0;0;0;0;0;0;0;0;0;0;3;.;0;0;.;0;0;0;0;0;.;0;.;0;0
29;0;0;.;.;0;0;.;.;3;0;0;0;0;.;.;4;6;6;4;7;18;0;23;5;.;0;.;0;.;0;0;0;0;3;.;.;0;0;0;0;0;0;0;0;0;.;0;0;0;0;0;.;0;0;0;0;.;0;.;0;0;0;0
30;9;33;121;85;43;122;43;87;49;24;33;7;.;140;131;199;32;78;5;25;12;.;3;609;188;21;3;4;31;126;65;12;22;18;32;42;45;19;.;0;7;6;32;.;15;5;.;40;70;15;27;7;0;26;11;.;6;38;19;9;59;0;4
31;.;14;25;22;20;11;17;34;14;3;9;7;0;23;30;45;19;24;5;29;21;8;3;144;447;44;13;14;44;55;20;10;23;20;8;12;14;5;.;0;3;4;11;.;6;4;.;13;16;.;11;12;0;13;4;.;6;23;12;9;36;.;8
32;0;10;4;4;5;3;6;.;.;0;.;.;0;7;9;5;11;9;0;0;3;.;3;14;24;69;13;20;14;8;8;0;6;4;3;4;3;3;0;0;.;5;.;0;6;.;0;3;6;0;3;0;0;4;.;0;0;4;.;3;4;0;0
33;0;.;5;3;.;.;5;3;.;.;.;0;0;.;8;4;6;8;0;.;.;0;0;7;9;25;49;8;6;5;6;.;5;3;0;5;.;0;0;0;0;.;3;0;3;.;0;.;5;0;.;.;.;4;.;0;0;7;4;.;.;0;0
34;.;.;.;.;0;0;.;.;3;0;.;3;0;.;3;.;0;7;0;8;5;0;0;5;17;21;17;152;19;3;.;0;.;4;0;0;.;0;.;0;0;0;.;0;4;0;0;0;.;.;.;0;0;.;.;0;.;0;0;0;0;0;0
35;4;.;5;5;.;6;.;.;.;.;0;.;.;.;3;5;3;5;3;6;6;.;.;5;28;23;4;22;109;8;5;3;5;3;0;4;.;0;0;0;0;0;.;.;0;0;0;.;.;.;.;0;0;.;0;0;.;.;3;.;3;.;0
40;10;32;94;249;48;53;33;21;12;4;.;9;.;67;75;28;11;12;0;14;4;4;0;124;90;25;12;9;24;871;344;27;56;24;92;116;31;11;13;.;7;5;10;19;15;.;3;77;81;9;14;10;4;19;3;0;3;34;24;8;16;0;5
41;.;14;43;49;15;15;15;29;3;5;3;.;0;35;34;28;12;4;0;13;9;6;0;99;58;21;13;16;7;267;689;41;67;35;44;61;15;10;19;0;6;5;11;.;8;4;0;58;38;9;9;5;0;11;8;3;.;29;16;10;15;.;3
42;.;3;20;8;6;0;5;4;5;.;.;4;0;6;9;9;3;3;0;0;4;0;0;17;23;9;8;5;.;26;17;63;47;18;5;5;0;.;0;0;0;4;0;0;3;0;0;.;10;0;.;.;.;.;.;.;.;5;12;.;.;0;.
43;8;8;67;13;7;0;7;9;7;3;.;.;0;10;15;13;11;8;0;.;.;5;.;27;20;20;8;5;0;26;52;53;285;40;5;8;9;4;0;.;.;6;18;.;8;4;0;10;11;10;.;0;.;9;4;.;.;11;5;6;9;0;.
