,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,40,41,42,43,44,50,51,52,53,54,55,60,61,62,63,64,65,66,70,71,72,73,74,75,80,81,82,83,90,91,92,93,94,95
0,32,11,16,10,21,20,34,8,0,.,.,3,0,15,4,3,.,3,.,.,0,0,.,18,8,3,0,.,0,21,8,.,7,.,3,5,0,.,.,.,0,0,0,3,.,4,0,4,11,0,4,4,0,3,0,.,.,7,8,3,3,0,.
1,.,41,9,18,12,17,8,7,.,.,.,.,0,19,15,6,5,6,.,0,0,.,.,11,11,5,.,.,0,16,12,3,.,.,6,12,4,.,.,0,0,0,3,0,3,0,0,3,14,3,4,.,0,3,4,4,4,18,4,.,6,0,.
2,16,31,381,80,49,30,28,26,9,.,7,5,.,60,22,36,16,4,4,6,9,0,0,161,48,16,6,6,3,152,60,16,27,.,33,31,9,6,0,.,.,4,16,0,8,7,0,21,21,8,8,.,.,17,8,4,3,43,18,.,15,.,7
3,12,19,50,217,30,43,18,7,4,0,.,3,3,13,10,7,6,5,0,13,.,.,0,38,20,5,6,.,.,218,69,6,10,9,36,36,7,6,.,0,.,.,7,.,6,.,.,10,15,11,11,4,.,19,3,0,0,46,10,.,14,0,3
4,19,14,36,49,196,82,34,15,.,4,.,.,.,26,13,11,.,8,5,3,7,0,0,41,5,0,.,.,3,56,37,3,5,.,61,51,11,.,.,3,.,.,8,0,6,8,0,25,26,12,12,.,3,6,0,.,.,45,26,.,12,.,5
5,9,9,16,22,64,265,33,10,0,0,3,6,.,7,9,5,4,.,0,.,4,3,4,22,9,.,.,.,3,71,23,8,3,0,35,24,4,11,.,0,0,4,3,0,.,.,.,10,23,4,16,6,3,18,11,0,.,106,33,7,13,.,10
6,12,14,25,25,22,44,150,12,.,.,5,3,.,20,9,12,3,.,4,.,3,.,.,35,9,3,0,.,0,29,17,.,8,7,8,14,5,0,0,0,3,.,10,0,5,5,.,7,17,.,3,12,0,26,5,.,3,95,57,19,34,0,12
10,6,8,9,9,4,13,11,523,126,33,41,14,20,36,24,38,35,35,18,8,15,0,.,58,27,.,9,4,.,21,17,.,6,.,9,9,8,5,0,0,5,.,6,.,7,4,0,13,20,7,16,6,.,15,11,.,11,35,12,3,19,13,7
11,.,5,14,3,3,8,4,101,185,4,9,26,13,12,18,3,26,29,8,6,12,0,3,18,5,3,.,.,.,21,7,.,.,0,4,9,0,5,.,0,4,.,.,.,9,0,0,5,9,5,.,.,0,6,4,.,4,16,12,.,7,.,6
