,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,40,41,42,43,44,50,51,52,53,54,55,60,61,62,63,64,65,66,70,71,72,73,74,75,80,81,82,83,90,91,92,93,94,95
0,43,18,24,20,34,10,40,.,0,.,.,0,0,5,7,4,.,4,0,.,4,0,0,7,.,.,0,.,.,16,6,.,13,.,6,9,0,.,.,0,.,.,.,0,.,3,0,6,5,6,3,.,0,3,3,0,.,13,9,.,10,0,.
1,8,30,12,16,24,21,14,.,.,.,7,3,.,32,18,10,.,.,0,.,.,0,0,32,12,9,.,0,0,22,3,0,3,.,12,9,3,0,.,0,0,.,.,.,.,.,0,3,4,5,.,.,0,3,5,0,.,11,6,5,6,0,.
2,11,21,382,121,35,40,27,15,6,3,4,.,.,42,26,32,.,7,.,0,.,3,0,105,43,16,.,5,0,120,41,16,28,8,32,21,3,3,.,0,5,4,10,.,5,7,.,19,26,.,7,4,0,8,8,0,.,33,23,6,15,0,0
3,12,11,50,183,67,37,19,15,0,3,0,.,.,13,14,8,.,10,.,4,0,0,0,41,13,6,3,0,.,238,80,5,17,12,30,32,9,0,.,0,3,.,.,.,7,.,0,14,20,7,8,6,0,.,4,0,.,23,21,0,13,0,8
4,15,16,32,49,222,87,35,6,3,.,.,3,0,22,17,11,8,.,0,3,3,0,0,32,12,18,0,.,4,79,16,.,3,3,52,52,10,.,.,0,3,0,5,.,6,.,0,25,40,4,16,5,.,14,5,.,0,29,26,0,23,0,10
5,18,15,19,42,104,234,33,4,.,0,3,0,0,14,11,11,.,.,6,7,6,.,0,22,16,3,0,4,8,53,19,4,5,0,41,35,12,3,0,.,4,4,.,3,4,3,0,9,36,6,19,7,8,4,11,3,.,58,35,4,9,4,.
6,18,9,33,20,25,49,124,8,5,3,8,.,0,15,25,13,0,3,0,0,3,3,0,29,9,.,.,5,.,49,16,6,11,0,15,17,4,.,0,0,0,5,7,0,5,5,0,8,17,3,16,5,0,7,9,0,3,101,62,25,71,.,16
10,4,.,11,7,4,14,8,548,122,22,40,14,5,40,60,33,33,33,17,6,17,.,.,38,33,14,.,.,12,16,17,0,4,.,8,14,9,6,.,0,.,6,6,0,6,6,0,7,22,0,4,8,0,8,5,.,4,32,34,10,20,5,5
11,.,6,10,.,7,7,5,110,217,4,16,19,13,13,22,12,31,67,8,3,9,0,.,16,6,5,.,0,0,12,6,0,3,.,5,3,3,.,0,0,.,0,4,0,4,3,0,0,11,0,.,.,.,.,.,3,0,11,19,.,14,0,3
12,.,.,0,0,.,4,.,32,8,141,95,23,4,7,9,3,6,5,.,0,4,0,0,5,.,.,0,0,0,.,3,0,.,0,3,4,4,.,0,.,.,.,5,0,6,3,0,3,7,.,.,0,4,14,3,0,.,10,7,14,15,0,10
13,.,.,13,4,9,5,5,38,16,67,302,41,9,8,8,10,10,12,8,.,5,.,.,12,8,.,7,4,.,4,9,.,.,0,3,13,3,.,.,.,.,.,.,.,8,7,0,3,10,4,9,3,0,7,11,0,8,20,11,7,36,5,24
14,0,4,9,.,4,6,.,20,12,9,26,104,15,12,6,7,0,10,5,.,.,.,0,4,3,.,0,0,.,4,3,0,.,.,.,7,.,0,0,0,0,3,4,0,.,3,0,.,3,3,3,6,.,3,.,3,0,11,.,6,12,5,.
15,0,0,3,.,0,.,0,6,0,13,4,15,26,3,.,0,.,4,0,.,3,0,.,6,.,.,0,0,0,.,0,0,0,.,0,.,.,.,.,0,0,.,0,0,0,.,0,0,.,0,0,0,0,0,0,0,.,.,.,0,3,0,0
20,6,15,37,34,35,19,24,38,19,17,5,7,.,398,155,101,40,30,6,7,8,.,.,108,32,8,3,9,5,37,29,0,8,7,32,31,13,5,0,0,0,.,12,.,7,8,0,11,23,4,8,6,5,9,7,5,3,42,15,4,36,.,14
21,3,10,33,14,23,16,15,70,29,7,26,5,.,161,369,71,43,37,7,13,7,3,3,79,32,10,0,0,5,33,22,.,7,.,12,20,15,6,.,0,3,3,7,.,7,10,0,12,27,.,10,.,0,16,11,0,3,19,22,3,25,0,6
22,.,10,29,23,16,8,8,37,20,0,7,.,.,51,69,372,41,23,4,33,12,0,.,179,81,11,4,7,7,45,22,.,6,4,23,15,6,.,3,0,0,.,8,.,5,0,0,8,26,4,12,4,0,11,4,0,7,16,12,7,15,0,9
23,.,4,5,7,7,4,3,34,33,3,9,.,.,31,43,25,192,64,17,6,20,0,.,15,17,11,.,0,.,13,10,.,8,0,.,11,.,0,.,0,0,.,0,.,4,.,.,3,10,.,6,8,.,5,.,.,0,16,6,7,16,0,3
24,.,7,16,7,10,5,6,34,33,14,13,9,7,19,33,20,112,580,117,8,72,3,19,30,25,11,4,.,18,22,17,3,3,.,11,18,5,5,3,0,0,6,6,3,4,.,4,10,15,.,11,4,3,12,3,.,4,15,13,3,18,4,5
25,.,.,.,6,.,0,0,3,16,.,3,3,0,6,8,3,8,43,71,.,17,4,.,5,4,.,.,0,3,4,3,.,.,0,3,5,0,0,3,0,0,.,3,0,0,.,0,3,7,0,0,4,0,0,.,0,.,6,0,0,3,0,5
26,.,5,10,.,4,.,.,4,5,0,.,.,0,12,16,56,9,18,0,91,13,9,8,27,21,5,5,.,6,5,13,0,0,4,.,6,.,3,.,0,0,.,0,0,0,.,0,.,12,.,3,0,.,.,.,0,.,.,4,0,0,0,.
27,.,4,.,0,.,.,.,7,12,.,.,5,0,9,7,10,17,49,17,24,347,3,18,5,9,7,0,3,.,8,3,0,3,3,.,8,.,.,0,0,0,.,0,0,.,.,0,5,5,.,5,.,.,4,0,.,.,8,9,.,4,.,.
