metadata keys,type,begin,end,,,,,,,,
metadata values,population,2002,2012,,,,,,,,
Gebiet id,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
00,1960,1845,1735,1757,1761,1779,1772,1736,1634,1677,1703
01,2849,2952,2789,3045,3144,3228,3281,3370,3457,3589,3750
02,9272,9375,9408,9588,9909,10155,10262,10323,10328,10613,11118
03,8691,8942,9151,9375,9847,10081,10452,10628,10898,11257,11647
04,6972,7365,7692,7946,8173,8497,8831,8977,9026,9352,9624
05,7062,7331,7447,7793,8320,8769,9072,9370,9423,9676,9884
06,6499,6543,6393,6567,6943,7053,7141,7310,7531,7870,8139
10,9138,9133,9109,9097,9145,9338,9485,9754,10106,10537,10837
11,9693,9662,9556,9554,9593,9516,9303,9159,9059,9025,9056
12,4080,4052,4041,3999,3914,3914,3857,3780,4011,4125,4179
13,11124,10936,10808,10538,10455,10285,10175,10235,10305,10406,10583
14,5923,5805,5765,5777,5503,5469,5496,5509,5526,5488,5476
15,2661,2684,2703,2714,2699,2664,2673,2685,2669,2636,2609
20,8262,8448,8525,8774,8886,8891,8959,9035,9069,9408,10006
21,7358,7574,7687,7615,7729,7669,7776,7754,7694,7952,8451
22,8614,8774,8971,9156,9277,9196,9270,9374,9443,9608,9795
23,7559,7612,7673,7765,7763,7737,7609,7626,7565,7563,7706
24,14824,14906,14525,14488,14326,14223,14057,13882,13635,13469,13604
25,4273,3990,4085,4091,4122,4109,4006,3954,3941,3950,3910
26,6189,6117,6135,6100,6082,6040,6055,5996,5949,5888,5869
27,7888,7918,7885,7918,7984,8058,8126,8179,8354,8459,8516
28,1465,1468,1536,1535,1584,1589,1619,1651,1671,1695,1697
29,2063,2084,2062,2125,2146,2154,2130,2123,2109,2128,2058
30,15614,15697,15718,15935,16222,16555,16931,16952,17206,18034,18717
31,12933,13305,13446,13600,13788,14000,14136,14084,14278,14593,14995
32,5223,5476,5691,5734,5781,5783,5836,5810,5722,5767,5946
33,3645,3593,3531,3502,3476,3513,3506,3464,3452,3412,3422
34,5140,5143,5151,5151,5190,5173,5150,5138,5148,5134,5224
35,6199,6156,6175,6168,6184,6115,6175,6164,6130,6220,6184
40,18157,18619,19032,19920,20670,21232,21778,22244,22470,23179,23570
41,14700,15056,15332,15554,15974,16144,16624,16864,17010,17404,17679
42,5524,5471,5352,5296,5317,5517,5670,5603,5596,5634,5686
43,10956,10840,10527,10567,10711,10680,10671,10773,10775,10839,10869
44,4341,4255,4150,3850,3757,3861,3893,4001,4053,4250,4471
50,9534,9867,10130,10506,10963,11237,11597,12004,12165,12257,12463
51,9161,9636,10052,10336,10902,11230,11714,11814,12116,12757,13236
52,7847,7884,7945,8054,8159,8240,8377,8336,8572,8695,8887
53,8728,8778,8730,8796,8809,8801,8896,8816,8853,8930,8941
54,4928,4954,5073,5108,5143,5155,5143,5124,5136,5171,5185
55,1192,1174,1183,1180,1203,1223,1239,1228,1244,1252,1308
60,4531,4338,4472,4551,4661,4777,4752,4698,4586,4524,4180
61,8583,8226,8157,8035,8034,7921,7686,7560,7440,7398,7339
62,13307,12854,12403,12297,12427,12183,12054,11888,11736,11682,11826
63,4123,4132,4164,4039,3987,3926,3902,3863,3851,3886,3888
64,14464,13886,13300,13266,12837,12309,11950,11664,11512,11447,11702
65,9954,9485,9157,8757,8296,8170,8100,7961,7801,7802,7936
66,2008,2022,2018,2050,2049,1990,1971,1945,1939,1916,1882
70,4960,5131,5210,5335,5333,5470,5544,5728,5990,6311,6581
71,11350,11921,12154,12199,12378,12332,12371,12376,12632,13151,13860
72,5223,5126,5093,5178,5217,5346,5456,5561,5565,5681,5896
73,8174,8292,8382,8439,8337,8388,8519,8678,8752,8903,9274
74,9318,9427,9533,9592,9733,9746,9834,9870,9847,9933,9985
75,4635,4674,4725,4707,4734,4727,4700,4695,4716,4713,4758
80,12263,12124,12163,12067,12121,12242,12393,12354,12357,12484,12815
81,5949,5872,5895,5792,5858,5936,5906,5976,5940,5981,6212
82,4040,4051,4052,4095,4102,4067,4051,4017,3982,3947,3952
83,5851,5743,5770,5692,5753,5791,5840,6008,6113,6167,6244
90,13166,13420,13773,14240,14653,14928,15408,15988,16185,16683,16938
91,12675,13020,13164,13222,13463,13543,13798,13957,14240,14689,15198
92,8185,8182,8164,8071,8036,7936,7987,8013,8167,8236,8213
93,10402,10670,10771,10711,10876,10891,11099,11578,11637,11957,12296
94,2189,2172,2182,2172,2173,2177,2126,2168,2171,2187,2189
95,7434,7612,7765,7999,8097,8084,8181,8174,8207,8254,8375
