metadata keys,type,timeunit,time,Metadaten (Kategorien),Inhalt,Bezugs-raum,Zeitraum,Zeitraum bezogen,,
metadata values,movement,year,2003,Metadaten (Werte),Wanderungsdaten,Stadtbezirke,Jahr,2003,,
,0,1,2,3,4,5,6,7,8,9
0,2529,99,424,454,892,410,98,367,90,675
1,149,2156,549,173,81,85,74,110,69,349
2,488,534,4430,821,351,265,100,282,107,393
3,413,128,779,2629,410,206,68,136,63,231
4,940,154,581,546,4144,412,164,273,60,251
5,321,61,151,133,328,2570,349,628,52,183
6,339,104,256,176,197,608,3253,770,104,208
7,383,67,241,158,209,587,456,3515,127,252
8,153,77,75,63,76,77,59,131,1315,610
9,554,308,343,206,234,187,96,288,511,3605
