metadata keys,type,year,Metadaten (Kategorien),Inhalt,Bezugs-raum,Zeitraum,Zeitraum bezogen,,,,,,
metadata values,movement-year,2004,Metadaten (Werte),Wanderungsdaten,Stadtbezirke,Jahr,2004,,,,,,
,0,1,2,3,4,5,6,7,8,9
0,2838,135,465,534,890,510,153,412,105,677
1,141,2121,478,137,92,72,71,109,97,305
2,523,477,4353,784,348,321,173,266,117,389
3,428,128,834,2522,409,161,96,148,80,219
4,891,90,522,569,4125,458,162,313,60,298
5,338,78,199,153,332,2837,396,559,52,182
6,249,102,201,164,183,512,3267,641,86,187
7,337,120,298,168,249,598,478,3325,119,243
8,127,49,82,49,54,88,83,147,1299,399
9,536,325,350,230,248,180,105,250,482,3242
