;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;0;1;2;3;4;5;6;10;11;12;13;14;15;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;40;41;42;43;44;50;51;52;53;54;55;60;61;62;63;64;65;66;70;71;72;73;74;75;80;81;82;83;90;91;92;93;94;95;nzg
;;10000;10001;10002;10003;10004;10005;10006;10010;10011;10012;10013;10014;10015;10020;10021;10022;10023;10024;10025;10026;10027;10028;10029;10030;10031;10032;10033;10034;10035;10040;10041;10042;10043;10044;10050;10051;10052;10053;10054;10055;10060;10061;10062;10063;10064;10065;10066;10070;10071;10072;10073;10074;10075;10080;10081;10082;10083;10090;10091;10092;10093;10094;10095;999
0;10000;17;13;16;19;6;7;7;0;.;.;3;0;0;8;7;5;0;.;0;0;0;.;0;4;.;.;0;0;0;8;3;0;.;0;.;6;0;0;0;0;0;.;0;0;4;.;0;.;5;0;.;0;.;0;0;0;0;8;.;0;3;0;.;0
1;10001;4;62;31;23;21;28;19;3;4;4;4;.;0;34;19;28;.;6;0;.;.;.;0;41;14;5;0;0;3;19;3;0;6;0;11;18;3;4;0;0;4;0;6;0;.;0;0;4;8;.;7;0;0;8;3;0;0;16;7;6;6;.;3;0
2;10002;18;44;552;73;77;31;33;27;13;17;12;3;.;89;55;57;18;15;.;.;14;0;0;211;41;19;.;8;11;117;52;25;40;3;32;41;18;3;.;.;0;9;20;.;19;5;0;24;40;.;15;.;4;23;17;6;4;42;34;18;31;3;.;0
3;10003;15;25;97;170;67;33;22;10;6;0;7;3;0;39;22;18;.;.;0;4;.;0;.;69;31;9;.;3;9;179;75;8;10;15;45;51;11;4;0;4;5;3;.;0;4;4;0;17;34;4;3;3;3;10;4;3;4;40;23;.;9;0;.;0
4;10004;7;16;52;90;263;90;36;18;8;5;3;.;0;24;24;12;7;17;0;5;.;0;0;40;21;13;.;4;3;72;31;5;8;.;35;65;6;7;3;.;.;.;5;6;4;3;0;34;41;12;20;6;4;7;.;0;.;43;28;5;20;0;10;0
5;10005;4;22;26;21;79;189;47;8;4;.;9;0;0;16;12;8;4;8;0;.;.;0;0;25;21;6;.;.;.;51;11;.;.;.;26;41;3;0;0;4;.;.;.;.;7;.;0;17;51;19;16;6;13;9;5;12;9;61;45;8;12;0;.;0
6;10006;7;24;41;30;29;33;82;32;6;15;6;7;7;24;44;13;4;3;.;0;.;0;.;57;17;4;0;13;7;30;15;5;8;.;22;24;5;.;8;0;0;.;14;7;9;5;.;12;24;.;15;4;3;49;16;.;.;85;76;6;50;6;7;0
10;10010;.;10;16;12;14;4;10;324;130;18;44;25;4;30;71;49;38;51;6;3;11;0;4;44;27;7;3;9;10;23;10;.;5;4;9;9;12;7;5;.;3;3;20;.;18;3;.;7;30;5;16;4;.;23;11;3;7;21;37;8;32;11;4;0
11;10011;5;8;6;5;6;7;6;65;225;14;17;15;.;8;28;10;25;18;6;3;9;0;.;23;8;4;.;0;16;7;3;3;3;3;.;.;.;4;0;0;3;5;12;.;12;4;0;10;.;.;.;4;3;20;4;.;0;7;4;10;11;3;3;0
12;10012;0;0;8;.;6;3;10;32;20;97;45;21;3;6;15;4;17;7;3;0;.;0;.;7;.;0;0;0;0;8;.;0;.;22;.;10;.;0;.;0;.;0;5;0;9;.;0;22;9;.;3;3;0;6;4;0;.;12;12;6;9;.;9;0
13;10013;0;.;0;8;9;5;8;26;25;54;228;29;5;7;15;9;7;15;.;3;6;0;.;17;3;.;0;.;9;6;8;6;4;.;0;6;.;3;5;.;.;.;9;3;.;5;0;5;4;5;.;7;.;19;5;7;.;12;29;12;29;6;13;0
14;10014;0;0;6;0;0;.;.;10;6;9;23;74;.;8;11;7;4;15;.;9;7;0;.;3;4;.;0;0;0;6;0;0;0;3;.;.;.;0;0;0;0;6;0;.;4;3;0;8;.;.;3;0;.;.;.;4;.;5;0;3;8;3;.;0
15;10015;0;.;.;0;4;.;4;0;.;.;10;6;8;0;0;.;0;0;0;0;.;0;0;.;0;0;0;0;0;.;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;.;3;3;.;.;4;.;0
20;10020;7;34;45;29;22;10;18;86;31;11;19;4;.;266;225;58;41;44;7;8;11;0;8;131;46;8;6;3;3;39;29;6;8;4;13;41;15;9;.;6;.;.;10;0;15;.;.;39;58;4;11;.;.;31;8;5;7;37;29;16;29;.;7;0
21;10021;5;24;21;21;7;10;14;95;42;8;21;5;0;137;345;72;67;56;7;4;9;0;.;71;35;3;6;5;3;37;24;11;13;.;10;29;13;4;.;0;.;8;22;.;23;10;.;28;59;7;17;6;.;10;6;0;0;27;25;14;16;4;4;.
