,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,40,41,42,43,44,50,51,52,53,54,55,60,61,62,63,64,65,66,70,71,72,73,74,75,80,81,82,83,90,91,92,93,94,95
0,39,6,8,15,24,21,12,4,.,.,3,0,0,13,4,3,0,5,0,0,0,0,0,14,.,0,0,.,.,9,5,0,.,0,5,.,6,3,0,0,0,.,.,0,0,0,0,.,3,0,0,.,0,3,0,0,0,11,.,0,3,.,0
1,10,57,28,18,27,11,17,9,.,.,0,3,0,15,11,10,0,7,0,.,.,0,5,34,12,8,7,0,0,26,5,3,.,0,6,13,5,.,0,0,.,.,4,0,9,4,0,3,.,0,3,.,0,6,.,0,.,19,10,.,6,0,0
2,12,16,427,101,50,31,29,17,7,4,8,.,0,55,19,34,13,12,3,5,10,.,.,133,40,4,.,7,.,121,39,15,23,5,27,27,6,5,0,0,.,3,11,.,6,11,0,13,10,3,11,5,0,14,3,3,.,17,22,3,10,0,7
3,17,22,74,230,90,46,17,5,5,0,7,.,.,12,11,13,8,5,3,5,.,.,.,54,19,.,0,.,3,209,91,7,6,9,50,31,6,4,8,0,0,0,.,6,5,0,0,13,12,6,11,9,0,11,4,0,.,23,13,.,9,0,.
4,20,20,35,77,316,102,33,8,0,0,4,.,.,18,12,9,6,.,0,8,0,.,0,22,14,0,0,.,4,88,35,.,0,.,57,54,5,3,.,0,7,4,.,.,4,.,3,15,31,15,23,9,.,9,7,0,0,24,26,4,8,.,.
5,9,6,26,30,70,327,44,8,0,.,7,.,3,7,.,7,.,9,0,3,3,0,0,24,14,3,4,6,8,57,19,6,3,.,33,34,10,3,4,4,4,0,4,3,4,3,5,10,24,5,12,3,.,17,4,.,6,64,19,3,28,.,5
6,7,21,30,33,40,47,115,10,.,.,3,.,0,17,17,15,6,.,.,3,.,0,0,37,12,7,0,.,0,34,15,3,10,4,29,15,10,0,0,0,.,0,8,6,0,6,.,9,20,0,12,11,0,16,7,.,.,96,48,14,37,.,10
10,4,6,6,7,8,14,15,439,113,45,31,36,7,29,39,24,11,25,.,6,23,0,6,38,13,4,8,3,0,17,12,6,4,.,4,5,10,4,0,0,7,.,5,3,14,3,.,4,6,3,8,7,.,14,8,3,5,28,18,7,23,.,17
11,.,9,6,3,3,4,3,77,173,7,9,15,.,10,21,6,12,23,.,.,9,5,.,14,3,5,.,.,.,11,3,.,.,0,.,3,0,0,.,0,3,.,5,.,.,3,0,5,11,3,0,9,0,11,3,0,4,12,7,3,11,.,5
12,.,.,3,.,7,.,10,39,4,114,60,18,5,7,5,.,7,15,3,.,.,0,0,9,10,3,0,0,.,4,.,.,0,0,.,.,0,0,0,0,0,0,3,0,.,0,0,4,7,3,3,0,0,15,3,0,0,4,16,5,19,0,3
13,3,.,7,9,4,7,6,39,11,60,226,43,8,6,8,3,8,9,.,.,4,0,6,19,21,4,.,0,.,12,.,4,4,3,4,9,8,.,.,0,.,.,10,0,5,.,.,3,5,4,7,0,.,18,5,.,5,17,17,26,34,3,5
14,0,4,0,.,0,4,6,12,6,13,27,117,4,.,.,3,3,12,0,8,0,0,.,8,4,.,0,5,.,3,3,.,4,.,.,.,0,.,0,.,3,.,0,3,.,.,0,.,0,0,.,0,.,8,0,0,0,5,7,.,4,4,.
15,0,3,0,0,3,0,.,4,.,8,6,20,23,0,.,.,0,3,0,0,0,0,.,.,.,.,.,0,0,.,0,0,0,0,.,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,.,.,0,0,0,4,0,0,.,0
20,.,23,34,23,17,22,17,85,19,8,23,7,0,337,155,50,40,31,.,6,5,0,0,118,45,8,5,6,6,69,27,4,5,.,21,35,20,3,4,4,.,9,6,0,.,3,0,19,24,7,.,.,0,9,4,.,3,40,33,4,22,3,8
21,0,11,32,18,19,16,9,91,32,10,9,3,0,134,301,90,50,47,4,14,6,.,6,85,33,9,.,.,.,23,18,6,7,0,19,13,6,.,.,0,3,.,8,.,18,6,.,14,20,3,11,3,0,14,3,.,3,33,14,.,29,0,0
22,6,8,30,14,20,14,17,24,6,8,8,.,0,59,60,350,42,23,5,11,37,8,3,201,86,16,0,3,8,43,32,5,10,4,13,7,24,7,0,.,.,.,11,.,12,0,0,14,17,0,4,4,0,11,7,0,3,23,8,.,12,8,.
23,.,4,5,.,4,.,.,37,28,10,10,13,0,26,30,36,193,95,7,5,9,0,5,25,13,5,4,0,.,10,7,3,3,.,.,3,4,8,0,.,0,.,.,0,7,4,.,7,9,0,6,3,0,5,.,0,.,8,6,.,6,.,4
24,5,12,16,7,13,10,9,42,25,10,11,22,3,30,50,42,67,498,54,7,67,12,7,47,23,5,3,5,7,8,13,3,12,.,3,15,11,3,4,0,3,8,7,0,8,.,.,7,19,7,9,.,0,15,9,0,12,16,20,.,13,.,7
25,0,3,3,.,0,5,.,4,3,0,.,5,0,0,4,0,4,60,61,4,12,0,6,4,.,5,0,.,4,.,0,3,5,0,0,.,.,.,.,0,.,.,.,.,0,0,0,0,.,3,.,.,0,0,.,0,.,.,5,.,.,3,5
26,.,3,6,0,.,.,.,.,3,.,0,4,.,7,6,20,5,16,.,86,20,.,6,18,23,9,.,4,9,11,11,.,5,6,.,4,0,4,.,0,4,0,3,0,.,0,0,.,.,.,.,3,0,.,.,0,0,0,4,0,.,.,0
